"State","District","Women.Age.Group.15.To.49.Years.Who.Are.Anaemic","Children.Age.Group.12.To.23.Months.Who.Have.Received.3.Doses.Of.Penta.Or.Diphtheria.Tetanus.Toxoids.And.Pertussis..Dtp..Vaccine","Children.Age.Group.12.To.23.Months.Who.Have.Received.3.Doses.Of.Rotavirus.Vaccine","Children.Age.Group.12.To.23.Months.Who.Have.Received.Bacillus.Calmette.Guerin..Bcg","Mothers.Who.Consumed.Iron.Folic.Acid.For.100.Days.Or.More.When.They.Were.Pregnant","Mothers.Who.Consumed.Iron.Folic.Acid.For.180.Days.Or.More.When.They.Were.Pregnant","Prevalence.Of.Symptoms.Of.Acute.Respiratory.Infection..Ari..In.The.2.Weeks.Preceding.The.Survey","Women.Age.15.Years.And.Above.Who.Consume.Alcohol","Women.Age.Group.15.To.24.Years.Who.Use.Hygienic.Methods.Of.Protection.During.Their.Menstrual.Period","Women.Age.Group.15.To.49.Years.Who.Are.Literate","Women.Mildly.Elevated.Blood.Pressure","Women.Moderately.Or.Severely.Elevated.Blood.Pressure"
"Andaman And Nicobar Islands","Nicobars",38.3,71.9,3.1,80.4,72.6,43.9,1.8,29.6,100,87.5,23.2,8.5
"Andaman And Nicobar Islands","North And Middle Andaman",62.1,0,0,0,83.7,24.1,7,5.1,100,84,18.4,4
"Andaman And Nicobar Islands","South Andamans",57.7,94.8,0,100,81,61.9,0,1.7,98.2,86.7,12.7,4.9
"Andhra Pradesh","Ananthapuramu",50.5,90.2,75,95.7,72,38.5,2.6,0.6,95,63.6,12.4,8.5
"Andhra Pradesh","Chittoor",51.8,88.4,75,97.2,71.7,43.7,3.1,0.4,94.7,69.3,10.7,5.4
"Andhra Pradesh","East Godavari",63,83.9,77.8,92.7,62.7,32.3,2.2,0.7,71,77.9,13,6.6
"Andhra Pradesh","Guntur",59.5,97.6,87.8,97.6,75.1,42.5,1,0.2,88,68.5,14.7,5.9
"Andhra Pradesh","Krishna",60.3,93.9,62.1,93.9,56.2,39.2,2.4,0.4,92.6,76.9,13.4,4.3
"Andhra Pradesh","Kurnool",58.6,86.3,69.1,95.9,69.8,43.3,4.2,0.4,78.9,57,18.3,5.1
"Andhra Pradesh","Prakasam",60.4,76,63.1,89.3,69,51.8,2.9,0.3,86.6,62.8,14.6,6.4
"Andhra Pradesh","Sri Potti Sriramulu Nellore",59.4,81.1,70.9,89.2,76.1,51.8,3.9,0.3,84,70.5,12.7,4.5
"Andhra Pradesh","Srikakulam",62.6,89.7,74.8,93.3,67.5,35.3,1.3,0.6,78,64.3,12.8,5.9
"Andhra Pradesh","Visakhapatnam",58,90.5,72.9,97.9,75,40.1,2,1.3,85.7,69.5,12.1,5.9
"Andhra Pradesh","Vizianagaram",64,90.3,77.3,100,59.6,32.4,1.4,0.8,72.5,58.3,12.9,6.6
"Andhra Pradesh","West Godavari",63,89,77.7,94.8,82.8,43.7,1,0.2,84.4,77,14.7,6.1
"Andhra Pradesh","Y.S.R.",56.1,88.9,87.5,92,71.2,39.7,2.3,0.2,92.5,63.8,13.6,5.7
"Arunachal Pradesh","Changlang",57.2,84.4,44.5,86.1,37.3,14.1,0.8,30,89.1,74,13.8,6.7
"Arunachal Pradesh","Longding",34.1,59.7,34.1,74.5,33.4,7.1,0.8,21.8,92,70.2,15.7,4.1
"Arunachal Pradesh","Lower Dibang Valley",34.6,77,41.7,89.2,25.8,3.3,1,20.3,96,80,16.7,8.1
"Arunachal Pradesh","Namsai",58.6,80.7,44,83.5,33.6,8.9,0.2,28.4,93,62.6,17.5,7.7
"Arunachal Pradesh","Papum Pare",38.4,76.3,11.5,88.1,24.8,13.3,1.9,16.1,95.4,77,13.6,3.5
"Arunachal Pradesh","Tirap",32,77.4,37.5,82.8,27.4,14.5,3.3,16.4,88.4,72.8,16.7,7.8
"Arunachal Pradesh","Upper Subansiri",36.7,75.6,33.6,89.8,23.6,8.4,1.3,42.8,92.7,62.3,17.7,5.9
"Arunachal Pradesh","West Siang",30.5,87.8,30,93.7,9.9,3,2.2,26.9,94.2,76.1,23.3,8.5
"Assam","Baksa",73.6,87.2,53.8,93.6,56.2,30.2,0.8,11.9,67,74.8,15,7.2
"Assam","Barpeta",64.8,73.6,40.8,94.3,49.4,21.8,1.5,0.7,61.5,74.8,9.6,3.9
"Assam","Biswanath",64.4,82.5,54,88.3,63.7,21.4,2,11.5,70.9,69.2,14.5,7
"Assam","Bongaigaon",70.6,80.4,40,94.1,46.7,22.3,1.6,1,69,75.8,7.9,4
"Assam","Cachar",57.4,82.5,39.9,88.3,35.6,12,2.1,2.5,57.8,77.2,9.7,3.7
"Assam","Charaideo",72.3,90.1,35.9,96.2,51.7,19.4,2.2,17.7,68.7,71.9,9.3,5.2
"Assam","Chirang",65.2,86.4,43.8,98.2,47.1,22.8,1.6,8.9,63.5,71.5,14,5.2
"Assam","Darrang",70.4,76.7,34.4,94.9,43.3,22.3,2.3,0.3,62.2,75.6,9.6,4.3
"Assam","Dhemaji",62.9,94.7,76.7,96.7,45.3,14.6,3,30.6,74.7,81.5,10.1,4.6
"Assam","Dhubri",63.2,82.7,47.4,90.5,47.6,14.6,1.7,0.3,48.8,69.5,11.3,5.5
"Assam","Dibrugarh",70.8,93,50,97.8,58.9,28,2.5,19,79.8,76.6,10.7,4.3
"Assam","Dima Hasao",60.5,71.9,46.1,91.3,40.8,17.6,2.7,23.9,79.1,87.7,11.2,3.5
"Assam","Goalpara",64.9,90.6,52,98.4,52.2,20.4,2.1,5,64.5,74.1,11.1,3.3
"Assam","Golaghat",77.2,84.9,47.2,92.6,63.7,26.2,4.1,10.4,70.6,75.1,10.7,6.9
"Assam","Hailakandi",61.4,78.9,50,95.4,29,8.3,4.9,3.1,56.1,82.2,12.2,5.8
"Assam","Hojai",56.3,60.8,41.4,82.1,50.5,16,2.4,2.2,64.6,83.2,11.6,6.9
"Assam","Jorhat",71.8,79.8,50.3,100,52.1,26.6,3,4,76.7,85.1,14.3,7.1
"Assam","Kamrup",71.5,86.1,38.1,90.5,42.5,24.3,1.5,3.2,62.1,79.6,12,3.9
"Assam","Kamrup Metro",74.6,77,50.9,90.6,51.7,16.9,1.3,3.9,86.3,86,8.2,2.6
"Assam","Karbi Anglong",59,75.3,42.9,88.7,35.3,9,2.2,20.5,77.6,78.8,10.9,6.5
"Assam","Karimganj",52,84,47.3,95.5,39.9,11.4,2.3,1.4,59.8,80.7,9,2.6
"Assam","Kokrajhar",59.5,76.2,37.8,95.3,61.1,26.4,3.8,12.3,72.3,73.7,11.3,5.3
"Assam","Lakhimpur",65.4,87.7,53.3,94.5,42.2,14.9,3.9,15.5,79.7,83.9,13,4.4
"Assam","Majuli",67.8,86.4,55.6,95.2,56.7,13.7,3,32.1,75.4,83.4,10.9,6.2
"Assam","Marigaon",64.2,87.9,60.3,91.3,53.4,18.4,5.9,1.9,69.1,78.7,12.7,4.9
"Assam","Nagaon",61,73.6,31.4,86.9,46.5,12.3,2.8,2.5,58.4,78.4,8.9,2.9
"Assam","Nalbari",66.4,85.2,44.1,89.9,38.6,16.7,2.2,2.4,74,83.9,12,5
"Assam","Sivasagar",67.6,90.5,30.4,95.7,53.7,23.8,0.4,13.5,75.7,86.6,11.5,5.9
"Assam","Sonitpur",63.6,76.8,62.4,90.4,56.4,16.9,2.4,4.4,63.4,76.9,14.5,8
"Assam","South Salmara Mancachar",57.1,81.9,47.1,97,47.4,18.3,3.9,0.2,60.6,63.5,11.3,3.1
"Assam","Tinsukia",72.8,92.7,39.3,97.2,43.8,19.2,2,15.7,74.6,70.5,9.6,4.7
"Assam","Udalguri",81.5,68,52.2,78.6,44.2,25.7,2.3,11.1,61.8,70,10,7
"Assam","West Karbi Anglong",57.9,70.3,50.5,92.7,39.9,10.6,2.9,23,77.3,73.9,11.3,4.2
"Bihar","Araria",67.9,77.4,0,90,17.6,7.6,6,0.2,36.4,43.7,5,2.9
"Bihar","Arwal",66.9,93.9,4.2,97.3,17.2,6.9,5,0.6,54.5,62.5,8.6,2.6
"Bihar","Aurangabad",60.5,95.9,6.1,99.4,20.3,9.4,2.5,1.1,68.4,67.6,10.4,4.2
"Bihar","Banka",65.9,92.9,2.2,98.1,24.5,14.7,2.3,0.5,62.8,55.7,10.6,4.8
"Bihar","Begusarai",62.9,82.3,2.5,96.6,21.4,11.8,3.1,0.4,70.7,62.3,7.1,2.4
"Bihar","Bhagalpur",73,91.1,15.6,96,28,16.8,1.1,0.2,75.6,65.6,7,3.2
"Bihar","Bhojpur",73.6,80.6,3.6,98.4,15.5,6.2,1.4,0.5,60.8,64.1,8.3,2.7
"Bihar","Buxar",66.2,90.5,6.3,97.3,21.1,9.8,3.7,0.1,56.6,68.1,9.2,2.8
"Bihar","Darbhanga",60.8,78.3,0,95.2,22,12.2,3.8,0.3,57.5,49.4,9,3.7
"Bihar","Gaya",64.3,92.6,7.3,97.1,18.9,7.1,4.1,0.9,72.8,59.4,11.5,3.9
"Bihar","Gopalganj",53.8,91.1,1.7,98.4,23.6,8.6,5.9,0.1,63.8,63.3,11.7,5.1
"Bihar","Jamui",75.2,77.4,0,97.5,27.8,11.7,1.9,0.5,63.1,48.7,7.3,4.1
"Bihar","Jehanabad",68.1,88.4,5.8,100,24.2,16.1,3.4,1.1,53.2,63.2,8.9,2.6
"Bihar","Kaimur (Bhabua)",70.3,91.4,14,98.2,11.2,3.6,4.2,0.5,58.9,66,7.9,3.3
"Bihar","Katihar",68.4,84.1,3.1,93.2,16.2,8.4,2.1,0.6,49.5,49.7,6,4
"Bihar","Khagaria",59.5,83.7,2.6,97.1,15.8,3.5,1.6,0.1,50.5,51.8,7.5,2.3
"Bihar","Kishanganj",65.1,80.3,1.7,93.2,17.5,10.9,1.8,0.6,39.8,48,8.5,3.6
"Bihar","Lakhisarai",72.6,82.4,0,92.9,21.1,8,1.3,0.8,64.9,57.9,6.6,3.4
"Bihar","Madhepura",65.7,83.2,0,97.6,14.9,8.2,1.6,0.5,49.6,47.6,5.3,1.9
"Bihar","Madhubani",61.4,85.7,0,95.7,16.2,9.1,4.4,0.1,57.4,53.2,9.5,4.2
"Bihar","Munger",71.4,85.9,1.2,95,33,15.3,2.6,0.1,80.2,69.5,9.8,3.5
"Bihar","Muzaffarpur",58.9,88.5,1.1,99.1,13.7,8.1,4.3,0.5,67.8,63,9.8,5
"Bihar","Nalanda",71,86.6,0,95.7,16.4,5.3,5.3,0.3,64.4,56.1,8.2,3.3
"Bihar","Nawada",70.4,87.9,0.8,94.6,17.5,9.5,2.8,0.9,65.7,62.1,8.8,3.8
"Bihar","Pashchim Champaran",50.6,74.3,1,88.8,9.9,6.5,6.6,0.9,42.9,52.5,11.3,5.1
"Bihar","Patna",67.1,83.9,11,98.4,20.7,15.7,0.7,0.4,74.3,67.6,8.1,2.5
"Bihar","Purbi Champaran",57.3,79.2,0.9,90.8,18.4,9.8,4.7,0.5,41.5,50.2,9.1,4
"Bihar","Purnia",66,80,3.7,88.1,12.7,6.5,2.7,0.9,51.5,47.5,8.2,2.7
"Bihar","Rohtas",64.9,95.8,7.7,97.6,17.4,7.7,3.1,0.4,72.3,76.5,10.5,3.9
"Bihar","Saharsa",65.3,85.1,0.8,97.1,12.1,4.4,2,0.2,43.5,43.1,6.2,2.8
"Bihar","Samastipur",60.5,89.5,0,99,20.8,8.9,4.5,0.1,58.7,54.3,7.1,4.2
"Bihar","Saran",62.8,89.1,16.2,95.2,14.8,8.5,1.6,0.6,59,65.6,8.4,3.3
"Bihar","Sheikhpura",69.5,90,1.2,99.2,24.1,6.7,6.8,0.2,68.1,55,9.2,4.2
"Bihar","Sheohar",61.6,75,3.8,92.8,11.3,5,5.2,0.3,57.3,52.5,10.1,3.7
"Bihar","Sitamarhi",61.7,78.3,0.9,92.7,14.3,9.6,3.4,0.1,47.6,51.7,9.9,4.3
"Bihar","Siwan",53.1,92.6,0,97.4,21.1,12.8,7.4,0.4,55.8,70.9,12.4,5.2
"Bihar","Supaul",60.7,88,0,99.2,13.2,8,5,0.1,55.4,42.1,6.3,2.5
"Bihar","Vaishali",63.1,85,5.3,97.4,14.8,6.8,3.9,0.4,68.2,62.4,6,3.5
"Chhattisgarh","Balodabazar-Bhatapara",61.2,87.6,27.4,97,21.6,12.6,3,1.8,59.8,73.4,14.2,6.2
"Chhattisgarh","Balrampur Ramanujganj",63.4,86.4,61,92.4,55,34.2,0.5,16.2,60.7,65.4,15.5,9.2
"Chhattisgarh","Bastar",77.2,85,24.2,93.9,31.1,18.2,5.3,18.5,53.1,52.9,13.1,7.2
"Chhattisgarh","Bemetara",47,93.4,64.1,100,54.6,34.8,0,0.7,63.9,71.1,17.1,7
"Chhattisgarh","Bijapur",72.1,83.2,63.9,92.7,32.5,20.1,2.8,32,47.1,44.7,9.7,3.5
"Chhattisgarh","Dakshin Bastar Dantewada",76,90,47.5,95.1,27.5,12.6,1,21.4,56.7,49.3,14.8,2.6
"Chhattisgarh","Gariyaband",64.6,88.9,25.8,100,39.9,26.1,4.8,1.2,58.2,68.9,15.5,5.6
"Chhattisgarh","Janjgir-Champa",66.3,89.5,30.9,94.1,34.2,21.5,2.1,1.3,78.4,74.9,15.1,5.1
"Chhattisgarh","Jashpur",61.5,95.5,76.9,95.5,50.5,32,0,12.1,68.2,73.1,17.3,10.4
"Chhattisgarh","Kabeerdham",43.6,95.4,80.4,98.5,59.8,36.9,0,2.6,63.5,66.2,16.5,6.7
"Chhattisgarh","Kondagaon",79.7,83.7,23.8,96.9,39.5,17.3,4.4,18.3,57.8,54.7,12.2,6.5
"Chhattisgarh","Korea",64.4,92.5,74.5,90.2,59.6,38.7,0.4,4.7,65.7,74.8,14.5,8.5
"Chhattisgarh","Mahasamund",63,87.4,22.9,98.2,35.1,18.9,2.4,3.7,61.4,70.6,11.7,4.3
"Chhattisgarh","Mungeli",54.5,89,59,98.7,60.3,38.8,0,1.2,68.2,66.5,17.5,7.5
"Chhattisgarh","Narayanpur",72,87.1,63.4,100,40.5,24.2,1.6,24.7,55.6,52,13.4,3.7
"Chhattisgarh","Raigarh",62.2,92.8,76.8,100,58,31.8,0.8,3.8,69.1,74.9,15.5,8.7
"Chhattisgarh","Raipur",59.1,78,27.7,96.6,46.1,25.6,3.8,1.2,72,79.6,11,3.6
"Chhattisgarh","Sukma",78.4,80.1,51.6,95,27.6,19.8,1.8,32.2,48.3,39.8,10.5,2.7
"Chhattisgarh","Surajpur",60.7,82,71.8,92.6,56.3,33.8,0,7.4,62.4,66.9,16.6,7.2
"Chhattisgarh","Surguja",58.3,89.5,61.3,96.4,54.5,38.2,0.3,12.1,63,71,16.7,9.8
"Chhattisgarh","Uttar Bastar Kanker",65.2,91.8,44,94.6,56.2,42.9,2.8,5.2,80.6,77.2,17.2,9.1
"Delhi","East",42.5,81.2,40.8,95.7,76.7,53.9,4.5,0.4,96.7,83,16.6,6.2
"Delhi","North",47.2,81.8,14.5,96.3,55.7,41.7,5.7,0.4,94.8,80,11.6,6
"Delhi","North East",45.9,93.4,43.6,95.7,78.1,55.8,2.3,0.2,98.6,83.8,16.6,7.5
"Delhi","North West",51.4,83.4,14.8,95.4,65.6,48.3,8.8,0.4,95.6,85,14.3,5.1
"Goa","North Goa",40,87.3,5.3,97.1,84.8,68.4,1.5,4.4,97.3,92.4,11,4.1
"Goa","South Goa",37.6,0,0,0,92.2,59.1,0,7,96.2,93.8,13.6,3
"Gujarat","Ahmadabad",63.7,80,2.2,93,69,54.3,1,0.3,66.4,81.5,8.4,3.3
"Gujarat","Amreli",50,87.5,3.8,93.4,73.8,59.2,0.3,0.4,73.8,77.2,8,4.3
"Gujarat","Anand",66.4,89,2.1,98.1,55.5,41.3,0,0.3,69.1,75.9,15.9,6.1
"Gujarat","Arvalli",77.3,87.9,5.9,95.2,56,41.4,1.8,0.3,52.5,71.9,11.8,6.9
"Gujarat","Banas Kantha",60,64.1,1.8,86.4,56.8,42.7,0,0.1,52.7,63.7,7.9,2.9
"Gujarat","Bharuch",71.8,83.6,10.7,91.5,38.4,21,0.4,1.1,63.6,74,14.4,4
"Gujarat","Bhavnagar",49.4,85.2,0,90.6,45.2,28.6,1.8,0.3,64.5,74.2,9.8,4.1
"Gujarat","Botad",58.8,76.3,1.3,94,54.6,36.7,0.6,0.4,72.1,71.8,6.2,3
"Gujarat","Chhotaudepur",78.9,86.6,0,98.7,59.4,45.5,2.7,1.3,44,53.2,12.1,5.7
"Gujarat","Dang",77.2,91.3,0,94.9,78.9,56.6,2.7,4.6,57.4,68.9,18.3,4
"Gujarat","Devbhumi Dwarka",48.8,77.2,0,92.3,29.1,12.2,0,0.5,65.9,66.1,9.7,4.4
"Gujarat","Dohad",75.1,73.8,1.2,88.9,65,44.6,3.7,0.9,45.1,56.1,12.8,4
"Gujarat","Gandhinagar",68.8,90.4,3.8,94.2,38.1,22.6,0.4,0.1,69.3,81.8,12.6,5.8
"Gujarat","Gir Somnath",49.9,92.5,0,98.8,53.5,35.4,0.7,0.4,74.1,73.1,6.5,3.3
"Gujarat","Jamnagar",50.2,92.9,0,100,52.5,32.9,2.1,0.2,75,83.1,8.2,3.2
"Gujarat","Junagadh",58.8,95,2,95.3,39.6,28,1.5,0.2,75.2,82.8,12.7,5.6
"Gujarat","Kachchh",57.5,87.6,2.5,97.4,74.3,54.9,0.5,0.3,59.1,75.6,10.8,4.4
"Gujarat","Kheda",76.1,88.2,4.6,90.1,42.4,27,1.5,0.5,65.3,70.9,14,6.3
"Gujarat","Mahesana",69.3,85.1,2.6,92.6,58.3,44.8,0.5,0.2,44.5,75.1,12.9,5.9
"Gujarat","Mahisagar",72.5,85.9,1.5,97.2,63.3,45.7,0.9,0.3,59.4,70.9,10,4.1
"Gujarat","Morbi",50.7,83.1,3.9,95.9,55.8,43,0.9,0.2,66.2,82.4,9.3,4.2
"Gujarat","Narmada",75.9,84.6,2,88.3,65.1,48.4,1,1.2,52.5,67.3,12,5.6
"Gujarat","Navsari",68.7,96.9,3.2,100,79.1,67,3.9,1.4,77.2,84.1,14.9,5.4
"Gujarat","Panch Mahals",69.8,96.9,0,99.1,64.2,42.2,0.9,0.4,61.8,71.7,14.9,6.4
"Gujarat","Patan",59.8,92.6,0,97.2,68.1,55.6,0.5,0.2,56.9,71.1,8.3,3.7
"Gujarat","Porbandar",47.6,91,2.5,96.6,56.5,37,0.8,0.3,71.7,84.3,8.7,3
"Gujarat","Rajkot",60.5,88.1,0,95.8,60.6,42,1.2,0.1,84.5,84.7,9.4,2.5
"Gujarat","Sabar Kantha",67.3,93.1,0,98.6,52.2,24.6,0.5,0.5,68.4,74.5,14.7,6.6
"Gujarat","Surat",69,92.8,0,100,73.1,52.7,0,1.6,78.2,84.2,15.3,4.9
"Gujarat","Surendranagar",55.6,75.2,1.6,91.2,39.6,25.4,2.9,0.1,52.8,75.1,9.9,3.5
"Gujarat","Tapi",77.4,100,0,97.5,73.6,51.6,1.6,2.3,63.7,72,16.7,7.6
"Gujarat","Vadodara",72.3,91.7,8.3,93.2,53.1,41.3,0.7,0.4,72.4,84.6,13.8,4.9
"Gujarat","Valsad",75.7,92.5,5.2,98.5,76.5,59.1,0.6,1.5,84.9,82.9,15.5,5.1
"Haryana","Ambala",46.1,93.3,76.3,97.7,51.6,32.1,5.8,0.4,93.3,85,15.3,9.4
"Haryana","Bhiwani",66.4,93.2,79.7,95.3,53.3,30.3,0.3,0.1,95.5,78.8,12.3,3.9
"Haryana","Charki Dadri",72.6,92.6,85.1,92.4,48.9,30.9,0.3,0.1,96.3,83.6,13.7,4.7
"Haryana","Faridabad",54.2,83.6,69.5,95.4,44.6,25,1.2,0.5,95.5,82.3,15.2,5.3
"Haryana","Fatehabad",62.3,93.8,90.7,96.8,60.3,41.5,0.6,0.5,96.7,71.1,9.7,5
"Haryana","Hisar",63.8,95.4,97.1,100,54.4,34.4,2.2,0.2,96.4,77.7,9.5,6.6
"Haryana","Jind",59.6,88.1,78.4,96.3,46.9,27.5,0.7,0,96.2,81.3,9.4,4.5
"Haryana","Karnal",61.9,98.8,91.9,100,78,53.7,5.1,0.3,92.9,84,10.7,3.8
"Haryana","Kurukshetra",57.1,98.5,87.4,97,70.6,51.4,7.7,0.2,92.3,83,17.9,7.8
"Haryana","Mahendragarh",61.2,86.4,82.5,94.3,48.5,28.4,0.8,0.4,95.7,81.1,13.7,5
"Haryana","Nuh",60.6,68.3,49,87.2,18.3,5.7,0.7,0.3,58.1,41.9,10.6,2.9
"Haryana","Palwal",57.2,82.2,71.5,94.1,32.1,20.5,2.1,0.1,91.4,68.3,14,6.2
"Haryana","Panipat",66.9,87,77.1,96.8,41.1,23.2,4.7,0.5,94,83.8,11.3,4.1
"Haryana","Rewari",61.8,90.2,78.5,92.6,45.8,29.1,0,0.3,94.8,86,15.7,6.8
"Haryana","Rohtak",65.3,84.4,78.1,88.2,56.4,34.5,1.9,0.3,98.3,85.8,10.6,5.6
"Haryana","Sonipat",53.3,90.1,83,92.4,48.9,32.2,4,0.2,97.5,87.3,12.6,4.5
"Haryana","Yamunanagar",56.6,90.4,80.9,95.8,58.9,36.3,6.6,0.4,91.6,85.8,15.6,7.2
"Himachal Pradesh","Bilaspur",53,100,90.3,100,72.4,48.9,0,0.3,94.4,91.2,11.5,4.3
"Himachal Pradesh","Chamba",43.7,100,100,100,65.4,37.4,1.6,0.6,87.3,84.1,11.9,3.5
"Himachal Pradesh","Hamirpur",49.5,83,77.1,88.6,69.9,33.5,1.1,0.3,94.3,94.8,13.7,6.8
"Himachal Pradesh","Kangra",63.4,97.4,86.1,97.4,63.4,38.5,0.4,1.1,89,94.4,13.4,6.8
"Himachal Pradesh","Kinnaur",51.7,94.1,94.1,97.7,68.7,45.2,0.8,0.9,95.9,89.1,11.3,3.8
"Himachal Pradesh","Kullu",52.8,91.5,87.4,93.8,61.9,43.4,0.5,1,85.7,87.4,10.3,2.9
"Himachal Pradesh","Lahul And Spiti",82.1,92.7,85.9,97.5,72.7,48,1.3,1.8,90.9,86.2,8.7,3.6
"Himachal Pradesh","Mandi",48.9,100,95.9,100,68.4,39.9,0.4,0.6,92.4,94,10.8,4.2
"Himachal Pradesh","Shimla",46.5,98.3,81.2,100,77.2,53.3,3.8,0.5,93.4,93.4,10.7,4
"Himachal Pradesh","Sirmaur",50.1,97.2,92.2,100,76,54.5,2.8,0.3,92.9,84.9,10.9,4.5
"Himachal Pradesh","Solan",47.5,95,95,97.6,74.6,51.2,4,0.5,94.4,91,12.5,5.4
"Himachal Pradesh","Una",60.8,88.2,72.2,100,46.5,36,0.4,0.2,93.7,92.5,11.7,6.4
"Jammu And Kashmir","Anantnag",74.3,90.5,12.5,88.4,32.5,20.9,7.7,0.2,74.2,74.7,11.5,3.8
"Jammu And Kashmir","Bandipora",73.7,90.3,7.9,93.4,21.9,8.8,4.8,0.1,64.4,66.6,8.8,5
"Jammu And Kashmir","Baramulla",72.5,87.2,4.2,91.5,22.4,13.1,3.8,0.2,62,67.9,13.6,3.9
"Jammu And Kashmir","Budgam",73.9,95.7,11.7,100,25.4,12.4,5.1,0,75.3,74.1,10.9,4.5
"Jammu And Kashmir","Doda",66.5,69.4,0,83.6,23.1,13.3,0,0.2,68.8,69.2,12.6,3.9
"Jammu And Kashmir","Ganderbal",77.2,90.8,10.8,98.7,16.3,10.8,2.3,0.2,69.8,64,10.7,3.2
"Jammu And Kashmir","Jammu",66.6,95.5,0,95.5,51.4,27.3,3.6,0.3,95.3,91.5,10.4,3.6
"Jammu And Kashmir","Kathua",53.6,100,0,100,32.6,20.1,1,0.5,85.4,87.7,15.3,1.9
"Jammu And Kashmir","Kishtwar",84.8,94.6,8.2,97.3,34.8,15.8,2.2,0.1,70.8,71.3,4.3,2.2
"Jammu And Kashmir","Kulgam",77,98.1,0,100,15.8,10.3,0,0.1,75.9,70.9,19.4,3.1
"Jammu And Kashmir","Kupwara",73.5,96.5,0,98.3,29.2,8.5,8.9,0,48.7,76,10.5,2.1
"Jammu And Kashmir","Poonch",54.1,98.5,6.1,97,20.6,11.3,3.8,0.3,76,79.3,11.4,1.9
"Jammu And Kashmir","Pulwama",73.2,94,0,97,33.1,15.7,2.6,0,85.1,76.6,14.2,4
"Jammu And Kashmir","Rajouri",60.6,98.2,12.4,100,17.4,3.8,6.1,0.1,53.1,79.4,11.3,2.7
"Jammu And Kashmir","Ramban",59.7,87.3,6.1,92.2,12.9,9,3.4,0.5,58.5,62.2,11.5,2
"Jammu And Kashmir","Reasi",62.9,86.6,0,90.5,32.6,21.8,0.9,0.1,59.7,68.2,11,1.2
"Jammu And Kashmir","Samba",62.4,94,0,98,46.5,24.4,3.2,0.7,85.5,84.8,11.6,4
"Jammu And Kashmir","Shopian",63.9,100,2.9,100,34.4,7.6,3.8,0.4,69.8,80.8,11.5,1.4
"Jammu And Kashmir","Srinagar",51.7,95.7,7.4,95.7,34.1,24.7,2.2,0,84.8,78.4,9.9,1.6
"Jammu And Kashmir","Udhampur",56.5,89.3,14.7,92.9,19.4,6.9,4.5,0.6,74.7,77.3,12.9,3.4
"Jharkhand","Bokaro",68.8,85.4,75.2,97,29.6,22.5,2.2,2,80,69.2,13.4,6.2
"Jharkhand","Chatra",56,80.7,75.1,91.5,28.2,15.4,1.4,5.9,66.9,57.7,8.7,5
"Jharkhand","Deoghar",70.2,68.6,54,87.5,18.5,11.8,0.8,2,68,50.7,8.6,4.2
"Jharkhand","Dhanbad",63.8,83.9,61,94.7,18.6,8.3,1.8,1.1,81.3,69.7,12,4.8
"Jharkhand","Dumka",73.4,83,69.4,96.5,21.8,9.3,1.3,8.8,63.6,51.8,9.5,4
"Jharkhand","Garhwa",62.7,86,79.3,96.8,16.8,3.3,0.2,3,59.3,59.6,11.1,5.3
